header	text	verdict	link
Рекомендую!	Покупал курс как старт для новой профессии, всем доволен, всем советую! Отличная подача, обратная связь! Приятный дизайн сайта, возможность общения со студентами, отличная реализация самой платформы. Частые скидки, акции. Имеется даже центр карьеры, помогают с трудоустройством. Постоянная актуализация курсов, гибкий график обучения. В целом, на Skillbox есть все необходимое для комфортного обучения и развития! Планирую брать еще!	1	https://irecommend.ru/content/rekomenduyu-5224
Удобный формат обучения и качественные учебные материалы	Мне нравится в этой онлайн-школе: 1. Формат обучения в виде видеоуроков в записи. 2. Далее делаешь домашнюю работу и отправляешь куратору, который быстро даст обратную связь. 3. Чат с однокурсниками, где всегда можно узнать всё необходимое по курсу. 4. Лояльность к студентам. Дали в помощь курс по Excel к основной профессии, что очень помогло. 5. Центр трудоустройства от компании. Помогут с резюме и собеседованием.	1	https://irecommend.ru/content/udobnyi-format-obucheniya-i-kachestvennye-uchebnye-materialy
Одна из лучших платформ!	"Год назад учился на другой платформе, но по семейным обстоятельствам пришлось уехать, при этом обучение ""на паузу"" нельзя было поставить. Да и не хотел я в таком режиме обучаться, когда нужно к определенному времени быть на лекции/семинаре, дедлайн сдачи домашних заданий и т.п. Вот решил попробовать обучение на платформе Skillbox, да и от друзей слышал позитивные отзывы. Здесь сразу понравился способ обучения: лекции в записи - смотрю когда мне удобно(а это для меня очень важно), домашние задания сдаю по мере выполнения, нет горящих сроков. Например, если у меня отпуск и я уезжаю на две недели - я просто ставлю обучение на паузу и возобновляю по возвращению. Это очень удобно! Обучаюсь по направлению ""Разработчик Python"". Язык для меня новый, учу с нуля. Что касается качества материалов. Лекции записаны просто идеально! Я ни на одной платформе не встречал настолько грамотно построенного потока информации. А мне есть с чем сравнить, я с десяток разных курсов проходил(как онлайн так и в записи). Лектор рассказывает очень понятно, конкретно и по делу, не запинается, не уходит в другую тему, пытаясь ответить на неуместные вопросы студентов(как часто бывает на онлайн семинарах/лекциях на других площадках). В общем, лично для меня манера подачи материала этого курса подходит идеально. После нескольких непродолжительных лекций - сразу практика. Я на теорию трачу 1 час, а потом на практику трачу 5-6 часов. Мне кажется, так и должно быть. Нет ничего лучше закрепляющей практики, иначе данные от лекции улетучатся из головы уже через пару дней. А практика построена очень интересно! Абсолютно разные задачи, над каждой приходится думать порой не один час(особенно задачи со звездочкой - обожаю их). Куратор, проверяющий мои домашние задания вникает в проверку очень глубоко, нередко отправляет код на доработку, просит оптимизировать тот или иной участок кода. В общем, проверяет не для галочки, а реально разбирает по кирпичикам весь мой код. Также понравилась скорость приема домашних заданий - бывало, в полночь выкладываю ДЗ - и час-полтора оно уже разобрано куратором. У куратора буд-то ненормированный рабочий день:) В общем, я полностью доволен процессом обучения. За последние годы я обучался на нескольких подобных платформах и на данный момент это лучшая онлайн-школа, которую я встречал."	1	https://irecommend.ru/content/odna-iz-luchshikh-platform
Настоящие специалисты	Большое спасибо отделу поддержки. Быстро взяли в работу мою проблему о переводе на другой курс, связались, расспросили что не так, дали свои рекомендации, помогли с дальнейшими шагами. Работа отдела вызвала только положительные эмоции. Приятно работать с клиентоориентированными и эмпатичными людьми. Всем рекомендую эту онлайн школу. Обучение интересное, платформа удобная, поддержка на высоте	1	https://irecommend.ru/content/nastoyashchie-spetsialisty-0
Удобное и понятное обучение.	Обучаюсь на платформе Skillbox чуть больше месяца, пользоваться платформой для получения новых знаний очень удобно. Учебный материал предоставляется в полном объёме и сохраняется в личном кабинете, что позволяет в любой момент вернуться к уже пройденному, если что-то забылось или появилось непонимание нового материала. Практические задания проверяются быстро, что даёт возможность перейти к следующему этапу обучения с небольшим перерывом. Обратная связь оперативная. На данном этапе обучения меня всё устраивает, надеюсь дальше всё будет так-же.	1	https://irecommend.ru/content/udobnoe-i-ponyatnoe-obuchenie
Информативно	Успешно закончила платные курсы о продвижении товаров на WB. Курс рассчитан на полгода обучения, я закончила за месяц, чуть больше. На всем протяжении был куратор, который подробно отвечал на все мои вопросы, разбирали практические работы, какие-то конечно были сданы не с первого раза, но вот тут как раз куратор указывал на ошибки и подсказывал, доносил в чем проблема. Сам курс достаточно интересный, рекомендую.	1	https://irecommend.ru/content/informativno-9
Дизайнер интерьеров		1	https://irecommend.ru/content/dizainer-intererov
Профессия коммерческий иллюстратор - да это ж круто!	Барала профессию коммерческий иллюстратор. Если хотите брать - то сначала советую вообще изучить где-то еще основы и базовые принципы рисования, чтобы набить руку, этого там мало. У меня уже была академ база, поэтому мне прям хорошо. Изначально брала ради центра карьеры - он мне не очень понравился, хотя если проходить вместе с потоком, а не самостоятельно, пользы от него будет больше. В целом я получила отличную мотивацию и основы работы в профессиональных программах - фотошоп, иллюстратор, прокриейт и афтер эффектс, с этой точки зрения, в профессии дают весь необходимый инструментарий для хорошего входа в профессию. Кураторы классные, обратная связь на высоте. Если возникают какие-то вопросы по видео или в целом по работе платформы, то всегда можно написать в поддержку и они постараются все исправить, или прислушаются. Также видео переодически обновляются и перезаписываются, и даже если вы уже прошли какой-то модуль, то вам будут доступны новые записи, это прям круто. сейчас активно работаю иллюстратором на фрилансе, а не в кофейне.	1	https://irecommend.ru/content/professiya-kommercheskii-illyustrator-da-eto-zh-kruto
Онлайн курсы от Skillbox - почему на них стоит обратить внимание, рекомендации тем, кто сомневается и личный опыт	"Я учусь на Skillbox на профессии Художник компьютерной графики. Из профессии закончила первый курс ""Основы Photoshop для CG-специалистов"". О нём и будет отзыв. До этого я с фотошопом не сталкивалась ни разу и мне очень понравилось как построены первые модули по введению и подаче основ программы. Всё очень наглядно и подробно, поэтому основные инструменты я освоила довольно быстро. Дальше, конечно, материал пошёл посложнее. На некоторых модулях зависала на продолжительное время, потому что было сложно, непонятно, я начинала расстраиваться и забрасывала на какое-то время. И, мне кажется, это основной момент, почему онлайн курсы часто ругают. Это не очное обучение, не школа в привычном понимании, не университет, здесь за вами бегать и просить, чтобы вы сдали работу никто не будет. Это полностью на вашей ответственности. И если вы сделали выбор в пользу обучения на онлайн курсах, то перед этим следует запастись мотивацией и дисциплиной, потому что без них проходить курсы будет очень трудно. Для себя я поняла, чтобы не расстраиваться, когда что-то не получается или непонятен материал, нужно взять в привычку постоянно окружать себя информацией по той теме, по которой вы проходите курс. И перерывов лучше не делать. Что я имею ввиду: у меня был момент, когда я скатилась ниже некуда, т.е. совсем забросила курс и этот период длился порядка 3 месяцев. И когда я поняла, что не двигаюсь никуда, стало ещё обиднее. Я не стала наступать на те же грабли, взяла за правило заниматься хотя бы по чуть-чуть через день. Плюс начала активнее читать чат курса в телеграме. Да, по каждому курсу есть чаты, где сидят и те, кто проходит в данный момент и те, кто прошли уже. И это очень полезно. Когда темы пошли сложнее, одной информации из модулей мне не хватало. Приходилось ещё искать в интернете. А чаще всего в этом чате. Почти на все свои вопросы я находила там ответы. Плюс там ребята делятся своими работами и это тоже вдохновляет, когда начинаешь думать, что ты тоже можешь ведь сделать такую красоту. Таким образом я вернула себя в учебное русло и дальше пошло гораздо лучше. Я возродила в себе интерес и научилась его поддерживать даже тогда, когда у меня что-то не получалось и появлялось желание расстроиться и бросить всё. Интереса и мотивации ещё очень хорошо придают сообщения о том, что ваша работа принята=D По курсу в целом могу сказать, что он построен очень хорошо. Всё постепенно, постепенно усложняется и сам материал и задания в домашних работах. Но не смотря на качественную подачу материала, ограничиться одним им не получится. Придётся всё равно искать в интернете, спрашивать у куратора, у ребят из чата, если вы хотите прям на отлично освоить этот курс. Да я думаю так с любым обучением будь то онлайн курс, школа или университет. Всегда нужно самому ещё смотреть чуть больше, чем дают. На курсе у меня был замечательнейший куратор. Мне очень понравилось с ним работать. Всё объяснял, что не так, давал подробные комментарии и рекомендации по тому, как сделать. Иногда записывал видео-комментарии - это самый большой кайф, потому что так ещё нагляднее и плюс могут показать какие-то новые фишки или инструменты, каких не было в модуле. Поэтому от курса у меня остались только положительные эмоции) О деньгах, которые я заплатила, не пожалела ни разу."	1	https://irecommend.ru/content/onlain-kursy-ot-skillbox-pochemu-na-nikh-stoit-obratit-vnimanie-rekomendatsii-tem-kto-somnev
Это лучший курс из четырех, которые я прошел	Действительно, если хотите получить знания и приобрести навыки, рекомендую. Я остался доволен и подачей материала и количеством практических заданий. Особый респект кураторам. Помощь реально чувствуется, вплоть до индивидуальных занятий. Очень понравилось отсутствие дедлайна. Я ещё успел пройти в ходе курса курс по начальной вёрстке. Эти знания очень помогли в тестировании веба. Жаль, что сейчас его сильно урезали.	1	https://irecommend.ru/content/eto-luchshii-kurs-iz-chetyrekh-kotorye-ya-proshel
Не пожалела потратив время на данный курс	"Я хотела бы выразить благодарность Skillbox за удивительный курс ""Бизнес-стратегия""! Даже если вы слабо усваиваете информацию, этот курс точно подойдет вам. Куратор, сопровождающий меня на этом курсе, был невероятно полезен - он всегда подсказывал, помогал освоить информацию дополнительными ссылками и советами. Курс дался мне очень легко, хотя изначально я думала, что он будет очень сложным. Я прошла его быстро, и, самое главное, эффективно. Курс состоит из видео уроков и устного материала, всего 11 уроков. Видео уроки не очень длинные, так что часа в день более чем достаточно, чтобы освоить материал. У меня на курс ушло всего несколько дней. После прохождения всех уроков и сдачи финальной практической работы, я получил на свою электронную почту сертификат о прохождении курса. Спасибо, Skillbox, за отличный курс, который дал мне не только новые знания, но и уверенность в себе и своих способностях! Я обязательно рекомендую этот курс всем, кто хочет изучить бизнес-стратегию."	1	https://irecommend.ru/content/ne-pozhalela-potrativ-vremya-na-dannyi-kurs
За новыми знаниями в Skillbox	"Хотела бы поделиться своим отзывом об онлайн-школе Skillbox, где я осваиваю курс ""Профессия Менеджер маркетплейсов"". Основной курс ""Профессия Менеджер маркетплейсов"" включает в себя два подкурса: ""Быстрый старт на маркетплейса"" и ""Как стать продавцом на Ozon"". В этом курсе есть более 200 обучающих видео, 15 практических заданий, 6 тестов и две финальные работы. Выполнив финальные работы, я смогу пополнить свое портфолио двумя кейсами. Также при покупке курса в Skillbox, я получила дополнительные и бонусные курсы. Считаю, что это отличная возможность расширить свои знания и навыки в разных областях. Преподаватели в Skillbox грамотные: специалисты в своих отраслях. Еще одно преимущество этой школы - это наличие комьюнити специалистов, где можно задать интересующие вопросы. Это дает возможность общаться с другими студентами и кураторами делиться опытом и получать советы. По завершении курса выдается сертификат об окончании курса. Из минусов: В целом, могу сказать, что я довольна обучением в онлайн-школе Skillbox. Считаю, что за знания нужно платить. А за освоение новой профессии уж тем более! Могу рекомендовать данную площадку и скорее всего за новыми знаниями снова сюда вернусь."	1	https://irecommend.ru/content/za-novymi-znaniyami-v-skillbox
Крайний непрофессионализм, устаревшие материалы, новые курсы записаны наполовину, а деньги берут за целый продукт, шантаж(удаление отзыва в ответ на замену курса с устаревшими материалами, который ведёт давно не практикующий преподаватель	"Обучаюсь на двух курсах ""Java-разработчик с нуля до PRO"" и ""Личные инвестиции"". Начну с ""Личных инвестиций"". На курсе предоставляют ложную информацию. В лекции говорится о том, что доходность облигации = номинал + купон, а номинал определяют, как сумму, которую инвестор заплатил за покупку облигации у должника. На самом деле номинал - это не сумма, которую я заплатила, а сумма, которая заявлена эмитентом. Я плачу цену. Номинал и цена могут различаться. И почему доходность облигации = номинал + купон, ведь в доходность может войти только часть номинала, если есть разница между номиналом и ценой... Ошибка связана с незнанием предоставляемого материала. Предполагаю, что курс сделан на скорую руку человеком с улицы и не проходил никакой контроль. В таком случае цена этого курса совсем другая. Даже если загуглить, то можно получить более достоверную информацию. Гуглить бесплатно. Я заплатила за то, чтобы не фильтровать инфу из гугла. В результате получаю информацию более низкого качества, чем выдал бы первый попавшийся поиск, так ещё и плачу за это. Также обучаюсь на курсе Java-разработчик PRO. Думаю, один из самых некачественных продуктов, из всех, которые я когда-либо приобретала. Конкурировать по ненадлежащему качеству он может только с курсом ""Личные инвестиции"", который тоже был приобретён у Skillbox. Во-первых, курс сильно устаревший. Во-вторых, основной преподаватель на нём - ""специалист"", который давно не пишет на Java, поэтому часто во время лекций у него не получается продемонстрировать корректное написание кода, долго разбирается, как же всё-таки пишется код. В-третьих, неактуальные домашние задания, которые даже куратор не знает, как выполнить. Например, я не могла выполнить домашнее задание. Оно у меня было принято только потому, что никто в Skillbox не знает, как его выполнить. Итог: тема не была освоена. В-четвёртых, в ответ на мои замечания Skillbox ответил, что всё в порядке: нет ничего плохого в устаревшем материале, незнающем преподавателе и отсутствии практики из-за неактуальности домашних заданий. В-пятых, за удаление отзыва мне предложили курс ""в подарок"". Так что я бы не стала доверять положительным отзывам о Skillbox. Возможно, они просто куплены. В-шестых, мне предложили заменить курс по Java на другой. Я предложила замену на Data Science или Data Analyst. Оказалось, что оба курса записаны наполовину несмотря на то, что Skillbox их продаёт. И так со многими курсами. Получается, что для замены нет полноценного курса. Я же не буду брать половину курса. В качестве компенсации предложила добавить курс по Python. В результате меня снова начали шантажировать, требуя удаления отзыва в обмен на курс. В итоге оказалось, что заменить некачественный курс просто нечем. Люди, будьте внимательны, если соберётесь в Skillbox. У них много неготовых курсов, которые всё равно продаются. В итоге получится, что вы заплатите деньги за продукт, начнёте учиться и через какое-то время упрётесь в невозможность продолжить обучение из-за того, что нет материалов. Деньги вернуть в таком случае тоже не получится. Также не верьте рекламе. В Skillbox работают крайне непрофессиональные ""преподаватели"". Рекомендую тщательно подумать, если хотите учиться в Skillbox, и ещё раз всё-таки рассмотреть другие варианты. Я жалею о том, что учусь в Skillbox. Потрачены деньги и время. За свои время и деньги я только и делала, что исправляла ошибки компании, т.е. ту работу, которую должен был проделать менеджмент. Курс отвратительный, но Skillbox считает, что это нормально Продолжеие отзыва пишу спустя почти год. Skillbox заменил мне курс по Java на Python. Первая часть курса довольно качественно сделана. Обычно у Skillbox есть проблема: их лекторы абсолютно не умеют преподавать, но первую часть курса проводил хороший преподаватель. После первой части я приступила к следующему этапу, который необходим для гарантированного трудоустройства - курс по Django. Учиться было очень некомфортно, потому что я имела дело с двумя версиями этого курса - старой и новой, которая записывалась во время прохождения мной курса, поэтому был бардак. Что касается лекторов, то, вероятно, они хорошие программисты, но никакие преподаватели. Итак, я окончила курс по Django и обратилась в Центр карьеры Skillbox за гарантированным трудоустройством. За месяц мне не было предложено ни одной вакансии. На мой вопрос о том, почему такое происходит, мне ответили, что количество партнёров Skillbox напрямую зависит от числа студентов. Иначе говоря, из-за того, что у Skillbox на данный момент нет студентов, он вообще не работает и не собирается работать в направлении моего трудоустройства. Люди, не верьте ничему, когда имеете дело со Skillbox. Абсолютно всё - введение в заблуждение. Нет никакого трудоустройства. В Центре карьеры вам просто будут говорить много всего, но делать ничего не будут. Я потратила на Skillbox почти 2 года и около 2 000 000 руб., т. к. хотела скорее сменить профессию и ушла с работы, чтобы было время на учёбу. В результате я потеряла 2 года, 2 000 000 и ничего не приобрела. Нет никакого трудоустройства. Это была моя худшая инвестиция в жизни. Люди, крайне рекомендую не тратить деньги и время на мошенников."	0	https://irecommend.ru/content/krainii-neprofessionalizm
Skillful Learning с курсом Java Developer Pro от Skillbox — 4/5 звезд	"Недавно я прошел первый базовый курс профессиональной программы , предлагаемой , желая перепрофилироваться из юриста в разработчика. В целом платформа и учебные материалы были хороши, и в то же время некоторые области можно было бы улучшить. Во-первых, я заметил несколько неточностей в материалах курса. Тем не менее, они были исправлены в процессе обучения, что помогло мне не сбиться с пути. Платформа непрестанно поддерживается, развивается, улучшается в явном виде. Как человек с высшим образованием в области прикладной математики и информатики, а также с опытом программирования на C++, я чувствовал себя комфортно с содержанием курса. Тем не менее, я считаю, что человеку без аналогичного опыта может быть сложно легко понять концепции, но , верно? Стоимость программы (на момент покупки) в 150 довольно высока, однако тем сильнее мотивация. Студенты должны быть готовы к самостоятельному изучению дополнительных материалов, чтобы полностью понять предмет. Я часто обращался к таким источникам, как Baeldung, Stack Overflow, Google и открытым репозиториям, чтобы дополнить свои знания. Положительным моментом является то, что мой куратор курса был превосходным. Он давал бесценные рекомендации на протяжении всего курса, давал полезные советы по карьере и заряжал на успех в целом. Это очень важно. Карьерный центр Skillbox также сыграл роль в моем обучении благодаря онлайн-консультации, предоставлению дневника поиска и ресурсам по поиску работы. Однако не рассчитывайте, что после обучения перед вами выложат блюдо с вакансиями и за вас назначат собеседования. Нужно самостоятельно над этим работать, а центр карьерной поддержки будет поддерживать и по-необходимости консультировать. Хотя доступно много дополнительных видеоматериалов, что есть уверенный плюс, т.к. получится развиться ещё и в ширину, я был разочарован, обнаружив, что «Английский для ИТ-специалистов» был удален с платформы. Вместо этого был предложен промокод для подплатформы, которая показалась мне дороговатой и не подходящей для ИТ-специалистов (мнение актуально на конец 2022). Как человек, владеющий английским языком на уровне B2, я рекомендую ИТ-специалистам изучать язык в другом месте. Для общего изучения языка с этой платформой я рекомендовал бы внимательно ознакомиться. Таким образом, Skillbox предлагает хорошую платформу и качественные учебные материалы, базовые и бонусные, для начинающих разработчиков Java, которые в самом деле хотят учиться, а не овладеть профессией, не прилагая усилий. В настоящее время я наслаждаюсь базовыми курсами Spring Framework и JavaEE, которые представлены в довольно привлекательной и занимательной форме, и жду начала работы над командным проектом, что есть отличный аналог стажировки в условиях, приближенных к ""боевым"". Впечатления от взаимодействия с платформой у меня положительные. Последнее, что отмечу - служба поддержки приветливо и быстро реагирует на различного рода просьбы/вопросы, за что отдельное спасибо! Удачи вам и успехов."	1	https://irecommend.ru/content/skillful-learning-s-kursom-java-developer-pro-ot-skillbox-45-zvezd
Слишком активные продажи	Выбрала курс по IP юриспруденция, прочитала на сайте программу – все понравилось все подходит. То что надо! Хочу купить. Вижу историю про рассрочку платежа, но не вижу полную стоимость курса, заказала обратный звонок. Перезванивает менеджер начинает рассказывать насколько они прекрасны, я пытаюсь уточнить про стоимость курса, остальное мне не интересно, я уже выбрала курс! менеджер говорит что она некомпетентна отвечать на такие вопросы со мной свяжется другой менеджер… на следующий день перезванивает менеджер и говорит что надо провести консультацию на 15 минут подобрать мне курс.. да нафига мне консультация на 15 минут если я выбрала конкретный курс по конкретной программе которая размещена у них на сайте! Мне не надо ничего другого, вы разместили информацию на сайте – дайте мне именно этот курс. Рабочий день, у меня нет ни времени ни желания слушать 15 минут как мне будут продавать какие-то другие курсы. Менеджер нервная оказалась, начала психовать, в общем я поняла что за 60 000 за курс ты получаешь абсолютного кота в мешке, не то что указано на сайте и каких-то неадекватных психованных менеджеров. Пошла обучаться к другим	0	https://irecommend.ru/content/slishkom-aktivnye-prodazhi
Образование здорового человека	"Шёл 2021 год... Мне, молодому инженеру по бурению газовых скважин, пришла идея сменить профессию. Не хотелось всю жизнь мотаться вахтами на Север, а хотелось перейти во фриланс и работать удалённо, пост-пандемийный тренд и всё такое (: Выбрал я профессию таргетолога, так как жена ведёт свой блог и необходимо было научиться настраивать таргетированную рекламу в соцсетях, да и направление востребованное и популярное. Перед тем как искать серьезные курсы, я ознакомился с таргетированной рекламой через вебинар одного таргетолога и сделал пробный запуск через рекламный кабинет популярной, но отныне запрещенной в РФ соцсети ,) Разумеется, знаний из вебинара для полноценной работы таргетологом мне не хватало, поэтому я стал искать варианты обучения. К выбору образования я подхожу основательно, поэтому модных блогеров с их историями про успешный успех в сфере таргета отбросил сразу. Вспомнил про скиллбокс и гикбрэйнс, ознакомился с их программами и прайсами и сделал выбор в пользу Skillbox, несмотря на более высокую цену. Почему? Больше понравилась программа, расширенная до уровня PRO, с углубленным изучением веб-аналитики. Оплатил профессию ""Таргетолог с нуля до PRO"" и практически сразу приступил к обучению. Очень понравились видео-уроки, всё по делу, без воды и с уместным юмором от спикеров!) К каждому модулю есть дидактические материалы, где разжевано всё то, о чем говорили в видео. Кстати о спикерах, Николай Смирнов вообще ванлав!)) Он супер-классный преподаватель, всегда развёрнуто отвечает на сообщения, даёт полезные советы с высоты своего опыта, с ним очень интересно общаться. Мне есть с чем и с кем сравнивать, поверьте.. У меня за плечами 3 высших образования: педагогическое и 2 технических, я много разных преподавателей повидал, но Николай - это какой-то совершенно новый, другой уровень. Так что спасибо ему пребольшущее за все уроки,) И сравнивая с тем образованием что я получал в универах, образование от Skillbox это образование здорового человека. Там и подход, и подача, и содержание. Там всё на 3 головы выше провинциальных ВУЗов. То, чему вас учат в универе 4-5 лет и вы так и не приобретаете необходимые практические навыки, на скиллбокс вы получаете за считанные месяцы, отрабатывая на практике сразу же. К сожалению, 2022 год внёс свои правки в работоспособность и доступность некоторых соцсетей, в связи с чем, тщательно обдумав дальнейшие перспективы развития в сфере интернет-рекламы, я решил остановить обучение по профессии таргетолога. Но и тут у скиллбокс есть приятные фишки, такие как замена курса по остаточной стоимости. Я связался со специалистами, которые занимаются заменой и хотел бы отметить первоклассную работу менеджера Александра Ругалёва, который оперативно ответил на все мои вопросы, да и вообще мы очень приятно с ним побеседовали) В общем я определился с выбором и с удовольствием приступаю к освоению нового курса по 3д-моделированию для начинающих)) Браво, Skillbox, и спасибо что Вы есть!)"	1	https://irecommend.ru/content/obrazovanie-zdorovogo-cheloveka
